Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0603,3,100nF,
C10,0603,1,10µF,
"C3, C4",0603,2,22pF,
C6,0603,1,1µF,
C7,0603,1,10nF,
"C8, C9",0603,2,4.7µF,
D1,D_SOD-123,1,1N5819W,
D2,0603,1,Yellow,
D3,0603,1,Orange,
D4,0603,1,Red,
D5,0603,1,Green,
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
J1,ScrewTerminal_DB128L-5.08-3P-BK-S,1,Relay conn.,
J2,ScrewTerminal_DB128L-5.08-2P-BK-S,1,Thermocouple,
J3,PinHeader_1x06_P2.54mm_Vertical_Minus2,1,Firmware,
J4,USB_Micro_B_Female_10118194-0001LF,1,USB_B_Micro,
K1,RELAY_SRD-05VDC-SL-C,1,SONGLE_SRD_05VDC_SL_C,
L1,1210,1,CBC3225T6R8MR,
Q1,SOT-23,1,BSS138,
R1,0603,1,1MΩ,
"R2, R7, R8, R9",0603,4,1kΩ,
"R3, R6",0603,2,10kΩ,
"R4, R5",0603,2,4.7kΩ,
SW1,AlpsAlpine_SKQYPCE010,1,Temp+,
SW2,AlpsAlpine_SKQYPCE010,1,Preset1,
SW3,AlpsAlpine_SKQYPCE010,1,Reset,
SW4,AlpsAlpine_SKQYPCE010,1,Temp-,
SW5,AlpsAlpine_SKQYPCE010,1,Preset2,
SW6,AlpsAlpine_SKQYPCE010,1,Setup,
U1,SOIC127P600X175-8N,1,MAX6675,
U2,TQFP-32_7x7mm_P0.8mm,1,ATMEGA328P-AU,
U3,Display_OLED_0.96in_I2C,1,Display_OLED_0.96_I2C,
U4,B0505S,1,B0505S-1WR3,
Y1,Crystal_SMD_HC49-SD,1,16MHz,
