Designator,Mid X,Mid Y,Rotation,Layer
C1,170.2,-76.5,0.0,top
C10,163.2,-72.6625,90.0,top
C2,163.25,-68.575,270.0,top
C3,163.95,-90.5325,180.0,top
C4,171.15,-90.5325,0.0,top
C5,166.1875,-76.5,0.0,top
C6,187.1,-58.6,180.0,top
C7,160.425,-86.2625,90.0,top
C8,159.15,-62.9875,270.0,top
C9,150.8,-62.9875,270.0,top
D1,219.2,-88.2,0.0,top
D2,213.7,-90.4,0.0,top
D3,151.371428,-78.6875,0.0,top
D4,151.371428,-82.75,0.0,top
D5,151.371428,-74.625,0.0,top
J1,218.8,-59.8,180.0,top
J2,170.075,-59.8,180.0,top
J3,156.925,-81.925,0.0,top
J4,155.1,-58.475,180.0,top
K1,213.735,-76.7,90.0,top
L1,155.1,-62.9875,180.0,top
Q1,207.7,-89.1375,90.0,top
R1,174.4,-58.2875,90.0,top
R2,213.7,-93.0,0.0,top
R3,207.7,-93.0,0.0,top
R4,172.3,-68.55,270.0,top
R5,172.325,-72.7,270.0,top
R6,160.425,-81.7875,270.0,top
R7,156.7875,-78.6875,180.0,top
R8,151.348928,-85.25,180.0,top
R9,156.7875,-74.625,180.0,top
SW1,179.75,-86.2,0.0,top
SW2,189.5,-86.2,0.0,top
SW3,199.25,-86.2,0.0,top
SW4,179.75,-93.25,0.0,top
SW5,189.5,-93.25,0.0,top
SW6,199.25,-93.25,0.0,top
U1,167.55,-70.6375,270.0,top
U2,167.35,-83.4325,90.0,top
U3,185.7,-56.01,0.0,top
U4,149.4135,-66.0343,0.0,top
Y1,167.35,-94.2,0.0,top
